Etiquette,Presentation (FR)
FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MP,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. pl.)"
FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)"
FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3S,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. sg.)"
FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_2S,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 2e pers. sg."
FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ:2FS,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.)"
FUT_PART.IV1S.IMPERFECT_VERB_MSA.IVSUFF_SUBJ.IVSUFF_DO:3FS,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
FUT_PART.IV1S.IV-foreign.IVSUFF_SUBJ,"particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + marqueur de personne à l'inaccompli, verbe d'origine étrangère + suffixe sujet du verbe à l'inaccompli"
FUT_PART.IV2.IMPERFECT_VERB.IVSUFF_SUBJ:2FS.IVSUFF_DO:3FS,"particule du futur + marqueur de personne à l'inaccompli, 2e pers. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
FUT_PART.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ:2FS,"particule du futur + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.)"
FUT_PART.IV2P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"particule du futur + marqueur de personne à l'inaccompli, 2e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
FUT_PART.IV2P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:1S,"particule du futur + marqueur de personne à l'inaccompli, 2e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
FUT_PART.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ,"particule du futur + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
FUT_PART.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S,"particule du futur + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
FUT_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
FUT_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1P,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.)"
FUT_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
FUT_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2S,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
FUT_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
FUT_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)"
FUT_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_1S,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 1re pers. sg."
FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1P,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.)"
FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2MP,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. masc. pl.)"
FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2S,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MP,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. pl.)"
FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)"
FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_2S,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 2e pers. sg."
FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_3MF,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 3e pers. masc./fém. sg."
FUT_PART.IV3MS.IMPERFECT_VERB_MSA.IVSUFF_SUBJ,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli"
FUT_PART.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
FUT_PART.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:1P,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.)"
FUT_PART.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:1S,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
FUT_PART.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:2MS,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. masc. sg.)"
FUT_PART.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3FS,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
FUT_PART.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3MS,"particule du futur + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)"
FUT_PART.PRON_1S,"particule du futur + pronom personnel, 1re pers. sg."
IMPERATIVE_VERB.CVSUFF_SUBJ:2FS,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. fém. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2FS.CVSUFF_DO:1P,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. pl.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2FS.CVSUFF_DO:1S,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2FS.CVSUFF_DO:3FS,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. fém. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2FS.CVSUFF_DO:3MP,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. masc. pl.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2FS.CVSUFF_DO:3MS,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. masc. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2FS.Prep.CVSUFF_DO:3FS,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. fém. sg.) + préposition [variante de casse] + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. fém. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2MP,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. pl.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2MP.CVSUFF_DO:1S,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. pl.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2MP.CVSUFF_DO:3FS,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. pl.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. fém. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2MP.CVSUFF_DO:3MP,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. pl.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. masc. pl.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2MS,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2MS.CVSUFF_DO:1P,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. pl.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2MS.CVSUFF_DO:1S,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2MS.CVSUFF_DO:3FS,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. fém. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2MS.CVSUFF_DO:3MS,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. masc. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2MS.Prep.PRON_1S,"verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 1re pers. sg."
IMPERATIVE_VERB.CVSUFF_SUBJ:2S,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2S.CVSUFF_DO:1P,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. pl.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2S.CVSUFF_DO:1S,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2S.CVSUFF_DO:3FS,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. fém. sg.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2S.CVSUFF_DO:3MP,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. masc. pl.)
IMPERATIVE_VERB.CVSUFF_SUBJ:2S.CVSUFF_DO:3MS,verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. masc. sg.)
IMPERATIVE_VERB.PRON_1P,"verbe à l'impératif + pronom personnel, 1re pers. pl."
IMPERATIVE_VERB.PRON_2P,"verbe à l'impératif + pronom personnel, 2e pers. pl."
IMPERATIVE_VERB.PRON_3FS,"verbe à l'impératif + pronom personnel, 3e pers. fém. sg."
IMPERATIVE_VERB.SUFF_SUBJ:3MS.Prep.PRON_1S,"verbe à l'impératif + suffixe sujet [coquille : préfixe IV/PV manquant] (3e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 1re pers. sg."
IMPERATIVE_VERB_MSA.CVSUFF_SUBJ:2FS.CVSUFF_DO:1P,"verbe à l'impératif (arabe standard, MSA) + suffixe sujet du verbe à l'impératif (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. pl.)"
IMPERATIVE_VERB_MSA.CVSUFF_SUBJ:2MS.CVSUFF_DO:3FS,"verbe à l'impératif (arabe standard, MSA) + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. fém. sg.)"
IMPERFECT_VERB.IVSUFF_SUBJ,verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli
IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2S,verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)
IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)
IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS,verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)
IMPERFECT_VERB.IVSUFF_SUBJ.NEG,verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation
IMPERFECT_VERB.IVSUFF_SUBJ:P,verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)
INTER.PRON_2S,"particule interrogative [forme abrégée de INTERROG_PART] + pronom personnel, 2e pers. sg."
INTERJ.DET.NOUN,interjection + déterminant (article défini) + nom
INTERJ.EXCLAM_PART,interjection + particule exclamative
INTERJ.NOUN,interjection + nom
INTERJ.NOUN.NSUFF_FEM_SG.POSS_PRON_2S,"interjection + nom + suffixe nominal féminin singulier + pronom possessif, 2e pers. sg."
INTERJ.NSUFF_INDEF,interjection + suffixe nominal indéfini (tanwin)
INTERJ.PRON_1S,"interjection + pronom personnel, 1re pers. sg."
INTERJ.PRON_2MS,"interjection + pronom personnel, 2e pers. masc. sg."
INTERJ.PRON_2P,"interjection + pronom personnel, 2e pers. pl."
INTERJ.PRON_3FS,"interjection + pronom personnel, 3e pers. fém. sg."
INTERJ.PRON_3MS,"interjection + pronom personnel, 3e pers. masc. sg."
INTERJ.PROPN,interjection + nom propre
INTERJ.REL_PRON,interjection + pronom relatif
INTERROG_PART.FUT_PART.IMPERFECT_VERB.IVSUFF_SUBJ,particule interrogative + particule du futur + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli
INTERROG_PART.FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ,"particule interrogative + particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
INTERROG_PART.FUT_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ,"particule interrogative + particule du futur + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
INTERROG_PART.FUT_PART.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3FS,"particule interrogative + particule du futur + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
INTERROG_PART.NOUN.IVSUFF_SUBJ,particule interrogative + nom + suffixe sujet du verbe à l'inaccompli
INTERROG_PART.PERFECT_VERB.PVSUFF_SUBJ:1S.PVSUFF_DO:2S,particule interrogative + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (2e pers. sg.)
INTERROG_PART.PERFECT_VERB.PVSUFF_SUBJ:2S,particule interrogative + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (2e pers. sg.)
INTERROG_PART.PERFECT_VERB.PVSUFF_SUBJ:3P,particule interrogative + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.)
